Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,8,5,5,easy
0,0,0,3,13,5,6,easy
0,0,0,3,18,5,7,easy
0,0,0,3,23,5,8,easy
0,0,0,3,28,5,9,easy
0,0,0,3,33,5,10,easy
0,0,0,3,38,5,11,easy
0,0,0,3,43,5,12,easy
0,0,0,3,48,5,13,easy
0,0,0,3,53,5,14,easy
0,0,0,3,58,5,15,easy
0,0,0,3,63,5,16,easy
0,0,0,3,69,5,17,easy
0,0,0,3,74,5,18,easy
0,0,0,3,79,5,19,easy
0,0,0,3,84,5,20,easy
0,0,0,3,89,5,21,easy
0,0,0,3,94,5,22,easy
0,0,0,3,99,5,23,easy
0,0,0,3,104,5,24,easy
0,0,0,3,109,5,25,easy
0,0,0,3,114,5,26,easy
0,0,0,3,119,5,27,easy
0,0,0,3,124,5,28,easy
0,0,0,3,129,5,29,easy
0,0,0,3,134,5,30,easy
0,0,0,3,139,5,31,easy
0,0,0,3,144,5,32,easy
0,0,0,3,149,5,33,easy
0,0,0,3,154,5,34,easy
0,0,0,3,159,5,35,easy
0,0,0,3,164,5,36,easy
0,0,0,3,169,5,37,easy
0,0,0,3,174,5,38,easy
0,0,0,3,179,5,39,easy
0,0,0,3,184,5,40,easy
0,0,0,3,189,5,41,easy
0,0,0,3,195,5,42,easy
0,0,0,3,200,5,43,easy
0,0,0,3,205,5,44,easy
0,0,0,3,210,5,45,easy
0,0,0,3,215,5,46,easy
0,0,0,3,220,5,47,easy
0,0,0,3,225,5,48,easy
0,0,0,3,230,5,49,easy
0,0,0,3,235,5,50,easy
0,0,0,3,240,5,51,easy
0,0,0,3,245,5,52,easy
0,0,0,3,250,5,53,easy
0,0,0,3,255,5,54,easy
0,0,0,3,260,5,55,easy
0,0,0,3,265,5,56,easy
0,0,0,3,270,5,57,easy
0,0,0,3,275,5,58,easy
0,0,0,3,280,5,59,easy
0,0,0,3,285,5,60,easy
0,0,0,3,290,5,61,easy
0,0,0,3,295,5,62,easy
0,0,0,3,300,5,63,easy
0,0,0,3,305,5,64,easy
0,0,0,3,310,5,65,easy
0,0,0,2,315,5,66,easy
0,0,0,2,320,5,67,easy
0,0,0,2,325,5,68,easy
0,0,0,2,330,5,69,easy
0,0,0,2,335,5,70,easy
0,0,0,2,340,5,71,easy
0,0,0,0,341,4,997945,72,easy
0,0,0,0,341,4,999998,73,easy
0,0,0,0,341,4,999998,74,easy
0,0,0,0,341,4,999998,75,easy
0,0,0,0,341,4,999998,76,easy
0,0,0,0,341,4,999998,76,easy
