Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,5,5,5,easy
0,0,0,3,10,5,6,easy
0,0,0,3,15,5,8,easy
0,0,0,3,20,5,9,easy
0,0,0,3,25,5,10,easy
0,0,0,3,30,5,11,easy
0,0,0,3,35,5,12,easy
0,0,0,3,40,5,13,easy
0,0,0,3,45,5,14,easy
0,0,0,3,50,5,15,easy
0,0,0,3,55,5,16,easy
0,0,0,3,60,5,17,easy
0,0,0,3,66,5,18,easy
0,0,0,3,71,5,19,easy
0,0,0,3,76,5,20,easy
0,0,0,3,81,5,21,easy
0,0,0,3,86,5,22,easy
0,0,0,3,91,5,23,easy
0,0,0,3,96,5,24,easy
0,0,0,3,101,5,25,easy
0,0,0,3,106,5,26,easy
0,0,0,3,111,5,27,easy
0,0,0,3,116,5,28,easy
0,0,0,3,121,5,29,easy
0,0,0,3,126,5,30,easy
0,0,0,3,131,5,31,easy
0,0,0,3,136,5,32,easy
0,0,0,3,141,5,33,easy
0,0,0,3,146,5,34,easy
0,0,0,3,151,5,35,easy
0,0,0,3,156,5,36,easy
0,0,0,3,161,5,37,easy
0,0,0,3,166,5,38,easy
0,0,0,3,171,5,39,easy
0,0,0,3,176,5,40,easy
0,0,0,3,181,5,41,easy
0,0,0,3,186,5,42,easy
0,0,0,3,191,5,43,easy
0,0,0,3,196,5,44,easy
0,0,0,3,201,5,45,easy
0,0,0,3,206,5,46,easy
0,0,0,3,211,5,47,easy
0,0,0,3,216,5,48,easy
0,0,0,3,221,5,49,easy
0,0,0,3,226,5,50,easy
0,0,0,3,231,5,51,easy
0,0,0,3,237,5,52,easy
0,0,0,3,242,5,53,easy
0,0,0,3,247,5,54,easy
0,0,0,3,252,5,55,easy
0,0,0,3,257,5,56,easy
0,0,0,3,262,5,57,easy
0,0,0,3,267,5,58,easy
0,0,0,3,272,5,59,easy
0,0,0,3,277,5,60,easy
0,0,0,3,282,5,61,easy
0,0,0,3,287,5,62,easy
0,0,0,3,292,5,63,easy
0,0,0,3,297,5,64,easy
0,0,0,3,302,5,65,easy
0,0,0,3,307,5,66,easy
0,0,0,3,312,5,67,easy
0,0,0,3,317,5,68,easy
0,0,0,3,322,5,69,easy
0,0,0,3,327,5,70,easy
0,0,0,3,332,5,71,easy
0,0,0,3,337,5,72,easy
0,0,0,3,342,5,73,easy
0,0,0,3,347,5,74,easy
0,0,0,3,352,5,75,easy
0,0,0,3,357,5,76,easy
0,0,0,4,362,5,77,easy
0,0,0,4,367,5,78,easy
0,0,0,4,373,5,79,easy
0,0,0,4,378,5,80,easy
0,0,0,4,383,5,81,easy
0,0,0,4,388,5,82,easy
0,0,0,4,393,5,83,easy
0,0,0,4,398,5,84,easy
0,0,0,4,403,5,85,easy
0,0,0,4,408,5,86,easy
0,0,0,4,413,5,87,easy
0,0,0,4,418,5,88,easy
0,0,0,4,423,5,89,easy
0,0,0,4,428,5,90,easy
0,0,0,4,433,5,91,easy
0,0,0,4,438,5,92,easy
0,0,0,4,443,5,93,easy
0,0,0,4,448,5,94,easy
0,0,0,4,453,5,95,easy
0,0,0,4,458,5,96,easy
0,0,0,4,463,5,97,easy
0,0,0,4,468,5,98,easy
0,0,0,4,473,5,99,easy
0,0,0,4,478,5,100,easy
0,0,0,4,483,5,101,easy
0,0,0,4,488,5,102,easy
0,0,0,4,493,5,103,easy
0,0,0,4,499,5,104,easy
0,0,0,4,504,5,105,easy
0,0,0,4,509,5,106,easy
0,0,0,4,514,5,107,easy
0,0,0,4,519,5,108,easy
0,0,0,4,524,5,109,easy
0,0,0,4,529,5,110,easy
0,0,0,4,534,5,111,easy
0,0,0,4,539,5,112,easy
0,0,0,4,544,5,113,easy
0,0,0,4,549,5,114,easy
0,0,0,4,554,5,115,easy
0,0,0,4,559,5,116,easy
0,0,0,4,564,5,117,easy
0,0,0,3,569,5,118,easy
0,0,0,3,574,5,119,easy
0,0,0,3,579,5,120,easy
0,0,0,3,584,5,121,easy
0,0,0,3,589,5,122,easy
0,0,0,3,594,5,123,easy
0,0,0,3,599,5,124,easy
0,0,0,4,604,5,125,easy
0,0,0,4,609,5,126,easy
0,0,0,4,614,5,127,easy
0,0,0,4,619,5,128,easy
0,0,0,4,624,5,129,easy
0,0,0,4,629,5,130,easy
0,0,0,4,634,5,131,easy
0,0,0,4,639,5,132,easy
0,0,0,4,645,5,133,easy
0,0,0,4,650,5,134,easy
0,0,0,4,655,5,135,easy
0,0,0,4,660,5,136,easy
0,0,0,4,665,5,137,easy
0,0,0,4,670,5,138,easy
0,0,0,4,675,5,139,easy
0,0,0,4,680,5,140,easy
0,0,0,4,685,5,141,easy
0,0,0,4,690,5,142,easy
0,0,0,4,695,5,143,easy
0,0,0,4,700,5,144,easy
0,0,0,4,705,5,145,easy
0,0,0,4,710,5,146,easy
0,0,0,4,715,5,147,easy
0,0,0,4,720,5,148,easy
